names,course_id,units,description,learning_outcome
Advanced Business Intelligence with SAS,95816,6," This course is the advanced version of 94832 (with overlap in some topics but overall more depth and breadth). With the proliferation of web, mobile and sensor technologies making inroads into the enterprises and industries, the ability to understand, analyze and interpret businesses from large-scale and fine-grained data has become increasingly more important today. This class aims to equip you with highly demanded business analytics skills in the current job market. The course will focus on extracting business intelligence by leveraging firm's business data as well as data from online and mobile channels for various applications, including (but not limited to) search engine marketing, social media analytics, crowd-sourcing management, market analysis and demand estimation, social network analysis, customer segmentation, customer relationship management (CRM), transportation, and health care management. The class will be hands-on and the emphasis will be placed on the ""know-how"" aspect - how to extract and apply business intelligence to improve business decision making and marketing strategies. We will analyze real-world business data from Fortune 500 companies using various business intelligence tools, primarily SAS Enterprise Miner. We will also introduce advanced econometric and causal analysis methods in analyzing policy decisions. Prior programming skill is not required but recommended. Throughout the class business insights from several market leaders such as Google, Yelp, Uber, Amazon, Travelocity, TripAdvisor, Netflix and Facebook will be revealed.",
"Privacy Policy, Technology, and Law",95818,12," This course focuses on policy issues related to privacy from the perspectives of governments, organizations, and individuals. We will begin with a historical and philosophical study of privacy and then explore recent public policy issues. We will examine the privacy protections provided by laws and regulations, as well as the way technology can be used to protect privacy. We will emphasize technology-related privacy concerns and mitigation, for example: social networks, smartphones, behavioral advertising (and tools to prevent targeted advertising and tracking), anonymous communication systems, big data, and drones. This course is part of a three-course series of privacy courses offered as part of the MSIT-Privacy Engineering masters program. These courses may be taken in any order or simultaneously. Foundations of Privacy (offered in the Fall semester) offers more indepth coverage of technologies and algorithms used to reason about and protect privacy. Engineering Privacy in Software (offered in the Spring semester) focuses on the methods and tools needed to design systems for privacy. This course is intended primarily for graduate students and advanced undergraduate students (juniors and seniors) with some technical background. Programming skills are not required. 08-733, 19-608, and 95-818 are 12-unit courses for PhD students. Students enrolled under these course numbers will have extra assignments and will be expected to do a project suitable for publication. 8-533 is a 9-unit course for undergraduate students. Masters students may register for any of the course numbers permitted by their program. This course will include a lot of reading, writing, and class discussion. Students will be able to tailor their assignments to their skills and interests, focusing more on programming or writing papers as they see fit. However, all students will be expected to do some writing and some technical work. A large emphasis will be placed on research and communication skills, which will be taught throughout the course.","Learning Outcomes: By the end of this course, students should: • Be able to discuss why privacy is important to society • Be familiar with the fair information practice principles as well as the privacy law and policy landscape in the United States • Understand the differences between privacy regulation in the US and EU, and be able to discuss different regulatory approaches to privacy • Be able to read, understand, and evaluate privacy policies • Understand the mechanics of online tracking and other technologies with privacy implications • Be able to communicate the privacy implications of a technology with policy-makers, lawyers, and engineers • Be prepared to pass the IAPP Certified Information Privacy Professional exams (These exams will be given on campus this spring. They will be offered free of charge to students who are IAPP student members. See https://privacyassociation.org/certify/programs/ )"
"A/B Testing, Design and Analysis",95819,6," This course looks at how to use A/B testing to measure causal effects in online platforms in the era of big data analytics. We aim at answering questions such as how does the demand for a product change when the price does or the ratings do? How can we anticipate how sales and profits change if the firm changes its business strategy? Facebook, Google, Amazon and similar firms ask and answer questions of this kind everyday using their large online platforms. This course introduces fundamental concepts to correctly ask this type of question. We study frameworks to measure causal effects and we discuss their pros and cons. Every tool is discussed in the context of a specific example that students work on using real world datasets. Significant effort is placed on understanding how to design randomized experiments (aka A/B tests) to measure causal effects. We also discuss the most common challenges that arise when trying to design such experiments in the wild and in network settings. The concepts and tools discussed in this course are general in nature and can be applied in settings other than online platforms such as energy, transportation and education. The examples in class will be mostly drawn from our own work at the Heinz College on the media industry. Lectures are 3 hours long. In the first half of each lecture we go over concepts behind A/B tests and what to do when A/B tests are unavailable. The discussion is based on the ideas and intuition behind these concepts. In the second half of each lecture we go over specific examples -- we study the associated datasets and the code used to analyze them properly. Student evaluation is based on five weekly homeworks and a brief term project to be developed in teams. Instructor: Pedro Ferreira, www.andrew.cmu.edu/user/pedrof Pre-requisites: Knowledge of R or STATA. A class in statistics and regression analysis or permission of the instructor.",
Product Management in Information Technology,95821,6," This introductory course (6 Units) is designed for MISM and MSIT students who are interested in exploring the roles and responsibilities of product management. Product managers provide a critical leadership role and have the responsibility of making the product or service successful through planning, development and marketing activities. They must manage the product in a complex, fluid environment affected by many influences such as customer needs, competitive offerings and threats, strategic planning and development cycles, budgetary constraints, product costs, and “make vs. buy” decisions – to name just a few. While these roles and responsibilities appear critical (as well as interesting) to the success of a product or service, product management is not always part of an organization, at least at first. Companies typically implement the product management function when a lack of coordination, communication and planning cause ineffective product developments, missed schedules, lost revenues, and disgruntled sales and development personnel (much less, dissatisfied customers!). Engineers and technical support personnel who show some level of interest or knowledge about the customer, competition, and/or business are “promoted” to product manager roles, often with little or no product management training or understanding. Note that these situations apply not only to products offered to “external” customers, but also to products and services offered by IT to “internal” customers (i.e. co-workers). Read any IT-oriented business journal these days, and one will quickly understand the need for IT to be relevant to the business. This can be difficult for IT personnel who do not fully appreciate their “customers” needs, much less competition. As such, this course discusses the need for product management roles and responsibilities for both external and internal products. Product management jobs are ideally suited for those who want a leadership role that combines one’s business interests with one’s technical knowledge and skills. This course assumes the students have plenty of other courses and experiences related to technical skills and knowledge; so, this course focuses on the business and managerial considerations, methods and tools of the product management function.","Learning Outcomes: 1. Define product management 2. Summarize the needs and requirements of product management; 3. Describe the “4 pillars” of product management’s roles and responsibilities across the product lifecycle, along with base responsibilities, regardless of lifecycle phase; 4. Analyze how product management can be applied to products and services that are both external and internal to an organization; 5. Describe how product management fits and interacts within organizations; 6. Be aware of common product management methods and tools, along with those specific to the four product life-cycle phases as follows: a. Common Methods and Tools i. Identify common product management methods and tools b. Product Strategy i. Identify and analyze the stages and deliverables associated with development of a strategy ii. Identify the components associated with a strategic proposal c. Product Development i. Identify the stages and deliverables associated with product development d. Product Marketing i. Identify the stages and deliverables associated with product marketing ii. Identify the components associated with a product marketing plan e. End of Life i. Identify the stages and deliverables associated with a product’s end of life 7. Describe challenges and issues associated with product management"
IT Consulting,95822,12," In this course, students develop client-facing consulting and management skills while collaborating on-site with the leader of a local organization. Students learn process consulting, relationship management, problem identification and analysis, project management, and communication. Unlike typical student team projects, this course allows each student to add to their portfolio the experience of solely managing a consulting engagement while demonstrating their professional leadership and management skills. Course readings, class discussions, and small-group meetings with IT industry mentors help guide students through the process. The consulting focus is on using IT to sustainably solve problems in an organization, not on building systems. Substantial software development is rare. Most often, commercial, open source, or cloud-based solutions are selected and deployed. NOTE: This course can not be taken Pass/Fail. NOTE: This course can not be taken Pass/Fail.",
Policies of Wireless Systems,95824,12," This course will address public policy issues related to wireless systems. It investigates policies related to a wide variety of emerging wireless systems and technologies, including current and next-generation cellular systems, wifi and white space devices, emerging methods of accessing spectrum, communications systems for emergency responders (firefighters, police, emergency medical services), current and next-generation television, and satellite communications. This can include the government role in facilitating the creation of infrastructure, in advancing competition among broadcasters and communications service providers, in using scarce spectrum efficiently, in promoting public safety and homeland security, and in protecting privacy and security. Because these are inherently interdisciplinary issues, the course will include detailed discussions of technology, economics, and law, with no prerequisites in any of these areas. This course is cross-listed as 18-650, 19-403, 19-713, and 95-824. Senior or graduate standing required.","Learning Outcomes: At the end of this course you will: • Understand the basic physics of wireless communications and how the differing physical properties of radio waves at various frequencies affect the allocation of spectrum to different uses. • Understand the process by which the use of the spectrum is managed in the o United States, and how spectrum is licensed. • Understand how new technologies such as Ultrawideband and Cognitive Radio are challenging traditional spectrum allocation processes • Understand the legal framework for the regulation of content by broadcasters • Understand how content regulation on the Internet differs from broadcasting. • Understand how the Internet is regulated under the Communications Act and o FCC’s recently proposed “Third Way” approach to Internet regulation. • Understand the “governance” structure of the Internet and the management of o Internet resources such as the Domain Name System. You will also learn how lawyers reason about the law and the relationship between constitutional law, statutory law, regulatory law and common law."
Machine Learning for Problem Solving,95828,12," Machine Learning (ML) is centered around automated methods that improve their own performance through learning patterns in data, and then using the uncovered patterns to predict the future and make decisions. ML is heavily used in a wide variety of domains such as business, finance, healthcare, security, etc. for problems including display advertising, fraud detection, disease diagnosis and treatment, face/speech recognition, automated navigation, to name a few. “If I had an hour to solve a problem I'd spend 55 minutes thinking about the problem and 5 minutes thinking about solutions.” — Albert Einstein “A problem well put is half solved.” — John Dewey The main premise of the course is to equip students with the intuitive understanding of machine learning concepts grounded in real-world applications. The course is designed to deliver the practical knowledge and experience necessary for recognizing and formulating machine learning problems in the wild, as well as of applying machine learning techniques effectively in practice. The emphasis will be on learning and practicing the machine learning process, involving the cycle of feature design, modeling, and evaluation. “All models are wrong, but some models are useful.” — George Box As there exists “no free lunch”, we will cover a wide range of different models and learning algorithms, which can be applied to a variety of problems and have varying speed-accuracy-interpretability tradeoffs. In particular, the topics include supervised learning: linear models, decision trees, ensemble methods, kernel methods, nonparametric learning, and unsupervised learning: density estimation, clustering, and dimensionality reduction. The class will include biweekly homework each containing a mini-project (i.e., a problem solving assignment that involves programming) in addition to other conceptual and technical questions, a midterm, a final exam, and a case study at the end of the course. The case study gives students a chance to dig into a substantial problem using a large dataset and apply machine learning concepts they have learned throughout the course. This course is designed to give a graduate-level student a thorough grounding in the methodologies, technologies, and best practices used in machine learning. This course does not assume any prior exposure to machine learning theory or practice. The prerequisites are basic knowledge of linear algebra and probability as well as proficiency in Python. For course related details (syllabus, assignments, etc.) see: http://www.andrew.cmu.edu/user/lakoglu/courses/95828/index.htm",
Marketing Analytics,95832,None," Marketing has become much more quantitative and data intensive in recent years. Strategies like interactive marketing, customer relationship management, and database marketing push companies to utilize the information they collect about their customers in order to make better marketing decisions. Marketing transaction data—which is a common type of Big Data—often forms the core set of information used for making marketing decisions. This course focuses on how analytic techniques from data mining, machine learning and statistical modeling can be applied to solve marketing problems. The approach in this course is to complete a series of data intensive case studies which gives us a hands-on approach to learning marketing analytics. Each case exposes students to the data, the marketing problem, and a compatible analytical technique. Specifically, the case studies considered include pricing decision support systems using retail transaction data, understanding customer churn in the cell-phone market, upgrading freemium customers to paying customers, and lifetime cycles in direct marketing. On the analytical side we use regression, mixed models, logistic regression, decision trees, cluster analysis, and topic models. This course is an intermediate level one, and is meant for those that have successfully completed the regression analysis course. Students are asked to complete a considerable amount of analysis and computer work, specifically using R statistical software. Although no prior knowledge about R is assumed.",
"Global IT Management, Sourcing, & Automation",95833,12," **THIS IS A DISTANCE COURSE FOR HEINZ/MSIT STUDENTS ONLY. CAMPUS STUDENTS SHOULD ENROLL IN THE 6-UNIT VERSION 95-837 GLOBAL IT SOURCING.** This course provides a full perspective on why and how organizations make decisions on delivering IT services internally or externally, locally or abroad, and via humans or machines. You will gain an understanding of how the global IT delivery model works and what controls and practices need to be in place to effectively lead dispersed teams. The goal of the course is to better prepare you to work on the client side, consulting side, or service provider side of a dynamic multi-sourced IT environment. Topics covered include best practices in workload selection, vendor relations, risk management, principal agent theory, ownership models, automation planning and execution, and supplier governance. We will explore the unique business drivers in the global sourcing of application support, software development, and IT enabled services. Classes will typically consist of lectures, guest speakers, and cases. Our classroom provides a truly global perspective as your fellow classmates are participating from several countries, job functions, and cultures. Intelligent sourcing of knowledge-based services will be a key differentiator in an organization’s ability to successfully outperform its competition. Your ability to lead a global workforce of both people and machines and add value in decisions in this domain will make you an increasingly valuable asset to any global organization.","Learning Outcomes: 1. Develop an understanding of how the global IT delivery model works and what controls and practices need to be in place to make it successful. 2. View problems from the perspective of the client, of the consultant, and of the service provider of a multi-sourced IT environment. 3. Have confidence in the ability to discuss global sourcing problems with industry experts."
Applied Analytics: the Machine Learning Pipeline,95845,12," Machine learning is a highly valued set of analytics techniques, a confluence of ideas from computer science, statistics, economics, physics, and others. Machine learning is transforming fields with new capabilities, ways of understanding and visualizing data, and is becoming a key driver in decision making. However, knowing when (and how) to apply appropriate machine learning techniques requires understanding of data, machine learning, and the problem domain. This class seeks to teach students how to address the entire machine learning pipeline, starting from messy data and provisional questions and ending with actionable interpretations and insights. The course will cover discovery, planning, analysis, and interpretation. Discovery involves understanding the data at hand, determining what is and is not answerable, and question generation. Planning involves contrasting the application of the desired machine learning method on ideal clean data with the messy data at hand. Dealing with representation, missing data, and designing appropriate machine learning machinery are all involved in planning. Analysis involves applying the machine learning method, checking model performance and assumptions in a principled and responsible manner. Interpretation involves the transformation of algorithm outputs into meaningful and actionable characterizations of the results. Each part of the pipeline is interconnected and students will learn to anticipate and address limitations through understanding of the pipeline as a whole. Throughout the course we will focus on one vertical, health care, recognizing that the methods developed will generalize to others. We will work with real, messy, structured and unstructured data--including databases, text, and images. We will contrast machine learning methods against what is currently used in health care analytics, and describe the advantages and promise of each.","Learning Outcomes: Students will be able to: - learn and adapt the mathematical formulations of machine learning methods for principled application - perform end-to-end machine learning analysis, including: data exploration, preparation, cleaning, prediction, validation, visualization, and interpretation - build working knowledge of a data science pipeline: e.g. R tidyverse (we will use this one for class); e.g. python scikit pandas seaborn - develop machine learning algorithms tailored to data and business or research question - understand the strengths and limitations of existing analytic strategies, including: randomized controlled trials, observational studies, Cox proportional hazards, logistic regression - write a conference-style paper in Latex - use of github for project code"
Making Products Count: Data Science for Product Managers,95851,6," Product managers engage in a variety of complex activities critical to product success including: Product requirements gathering, Forecasting customer demand, Customer segmentation, Pricing, Allocating marketing spend, Identifying buying patterns, Analyzing and responding to customer feedback. Historically decisions in these areas have often relied on intuition and guesswork, leading to misjudgment of the market and other key factors, and ultimately, product failures. Developments in data science, combining the increasing availability of data from internal and external sources with new algorithms that exploit that data at scale, offer new possibilities for putting product management decisions on a more quantitative and rigorous footing. This course is primarily aimed at students with technical backgrounds who wish to apply their skills to product management. Students in this course will be introduced to a variety of data science techniques applicable to activities to which product managers typically contribute. These techniques include preference modeling, time series forecasting, regression, clustering, classification, A/B testing, and analytics for unstructured data. Along the way, students will learn about practical aspects of applying data science to product management, including: Choosing appropriate metrics for product success, Selecting and assessing data sources, Data science infrastructure choices, Evaluating data science models, Documenting and communicating data science results, Planning and delivering data science projects, Data science pitfalls to watch for.",
Network Situational Awareness,95855,12, The 21st century created an unprecedented dependence on the Internet that is ever changing and affects all aspects of business and communications. This change brings up challenging problems and business decisions analysts face both at the micro and macro-levels: Micro: · What is the breadth of my network? · What assets are important to my mission? · What vulnerabilities affect me? · How do I perform efficient network analysis? What does “the bad” look like? Macro: · What are the geo-political effects of various movements across the world? · How do I provide an assessment of a global problem to decision makers? · What are the downstream affects others face because of me? Business Impacts: · What will this security implementation have on my business? · What do I do if my network is being used for malicious activity? · Can I take advantage of new technologies? This is a hands-on course that will survey network situational awareness techniques. The concept of network situational awareness is to develop a cogent set of observed network characteristics that will inform decision makers as to the wise course to take in defending the network (or more colloquially Know your network. Know the Internet. Know how they work together). The labs will involve network investigation to include packet capture analysis and network flow analysis.,"Learning Outcomes: By the end of the course, students should perform the following: · Demonstrate network analysis using Wireshark (tshark), tcpdump, Scapy, Snort, and/or SiLK to profile a network, and identify malicious behavior in support of the mission needs of an organization. · Compare mission differences between Law Enforcement, Network Defense, and Intelligence for national security. · Summarize security-community analysis and synthesize indicators of compromise (IOCs) in order to properly communicate to the C-suite, management, or other members of the security community. · Begin creation of personal “brand” to use within the security community at large. Pre-requisites: None"
Current Topics in Privacy Seminar,95862,3," In this seminar course students will discuss recent papers and current public policy issues related to privacy. Privacy professionals from industry, government, and non-profits will deliver several guest lectures each semester.",
Unstructured Data Analytics,95865,6," Companies, governments, and other organizations now collect massive amounts of data such as text, images, audio, and video. How do we turn this heterogeneous mess of data into actionable insights? A common problem is that we often do not know what structure underlies the data ahead of time, hence the data often being referred to as ""unstructured"". This course takes a practical approach to unstructured data analysis via a two-step approach. We first examine how to identify possible structure present in the data via visualization and other exploratory methods. Once we have clues for what structure is present in the data, we turn toward exploiting this structure to make predictions. Many examples are given for how these methods help solve real problems faced by organizations. Along the way, we encounter many of the most popular methods in analyzing unstructured data, from modern classics in manifold learning, clustering, and topic modeling to some of the latest developments in deep neural networks for analyzing text, images, and time series. We will be coding lots of Python and working with Amazon Web Services (AWS) for cloud computing (including using GPUs). Note that students cannot receive credit for both 95-865 (""Unstructured Data Analytics"") and 94-775 (""Unstructured Data Analytics for Policy""). More information is available at the course webpage: http://www.andrew.cmu.edu/user/georgech/95-865/ Note that there will be a fair amount of coding in Python and working with sufficiently large datasets. We will be making use of standard Python machine learning libraries such as scikit-learn and keras.","Learning Outcomes: By the end of the course, students are expected to have developed the following skills. Skills are assessed by the homework assignments and the final exam. * Recall and discuss common methods of conducting exploratory and predictive analysis of unstructured data; * Write Python code for exploratory and predictive data analysis that handles large datasets; and * Work with the Amazon AWS cloud computing platform; and * Apply unstructured data analysis techniques discussed in class to solve problems faced by governments and companies."
Advanced Business Analytics,95866,6," Growth in Web 2.0 coincides with the growth in firms' ability to collect large customer data. Firms know micro level data about customer transactions and have an ability to correlate such data with other datasets. In this course, we will learn powerful but simple probability/statistical models that can be applied to fit these data to generate useful predictions. The course will go beyond pattern detections, clustering, or correlation in data to build models of plausible consumer behavior that generates the data. Thus the goal is to build a ""model"" of consumer behavior and apply this model to data to test how accurate this model is and tweak it if necessary. Most importantly, with such a model in hand, we want to predict how outcomes will change if the firm changed its strategy. Thus a key goal of the course is to teach students a model based approach to prediction.",
Exploring and Visualizing Data,95868,6," This course covers the fundamentals of statistical exploration and visualization of data. We will fit models and produce specialized graphs to explore data in a detailed and statistics-oriented manner. This course also serves as a crash course in R, a widely used statistical programming language. Either 90-711 or 95-796 must be taken as a prerequisite; otherwise, consent of the instructor is required.","Learning Outcomes: 1. How to use R to perform basic data manipulation such as filtering, aggregating, and organizing data sets, and for production of graphics 2. How transformations, model fits, and residuals can be used to explore and check statistical assumptions about data"
Big Data and Large-scale Computing,95869,6," The rate and amount of data being generated in today's world by both humans and machines are unprecedented. Being able to store, manage, and analyze large-scale data has critical impact on business intelligence, scientific discovery, social and environmental challenges. The goal of this course is to equip students with the understanding, knowledge, and practical skills to develop big data / machine learning solutions with the state-of-the-art tools, particularly those in the Spark environment, with a focus on programming models in MLlib, GraphX, and SparkSQL. Students will also gain hands-on experience with MapReduce and Apache Spark using real-world datasets. This course is designed to give a graduate-level student a thorough grounding in the technologies and best practices used in big data machine learning. The course assumes that the students have the understanding of basic data analysis and machine learning concepts as well as basic knowledge of programming (preferably in Python or Java). Previous experience with Hadoop, Spark or distributed computing is NOT required. PRE-REQUISITES: - understanding of basic machine learning concepts (having taken 95-791 Data Mining, 95-828 Machine Learning for Problem Solving, 10-601 Introduction to Machine Learning (Masters), 10-701 Introduction to Machine Learning (PhD), or 10715 Advanced Introduction to Machine Learning) - proficiency in Java or Python For course related details (syllabus, assignments, etc.) see: http://www.andrew.cmu.edu/user/lakoglu/courses/95869/index.htm","Learning Outcomes: Learning Objectives : By the end of this class, students will • gain understanding of the MapReduce paradigm and Hadoop ecosystem • understand scalability challenges for common ML tasks • study distributed machine learning algorithms • understand details of SparkSQL, GraphX, and MLlib (Spark's ML library) • implement distributed pipelines in Apache Spark using real datasets"
Managing Analytics Projects,95870,6," With the growing demand for analytics skills in business and government, there are many options for students to learn fundamentals of data and analytics modeling. There are fewer opportunities to learn about managing analytics projects, which often involve leading teams with diverse skills and interacting with stakeholders in a variety of roles. This course is designed to offer students practical guidance and experience around the process of initiating, delivering, and evaluating analytics projects. It will draw on experience from a consulting perspective, talking about analytics with clients and delivering analytics-related engagements. The course will cover the following topics: Starting the analytics conversation: Identifying needs, understanding constraints. Choices around data: sourcing, standards, licensing and privacy. Choices around analytic techniques and technologies, integration, and visualization. Planning and executing analytics projects: Sizing, staffing, communication. Managing analytics in the enterprise: Organizing for analytics and change.",
Mobile Application Development,95871,12," Smartphones are becoming ubiquitous. Applications running on these phones have become the mainstay for users. In fact studies show that more people access the web via mobile devices than from personal computers. As the number of devices expands dramatically, users are becoming accustomed to having both web and computing access via small, mobile devices and phones. This has resulted in a significant increase in demand for developers with experience using multiple platforms such as iOS, Android, and Windows Phone. At the same time, the growth in popularity of cloud computing has increased the ability for these devices to perform functions that previously required computation power unavailable on mobile devices. Mobile applications are considered one of the most important enterprise application decisions for businesses today. Marketing, IT and business managers are looking for expertise in leveraging mobile to grow sales and increase their customer base. In this project-based course you discover how to use Apache Cordova, an open source mobile development framework, to create platform-neutral mobile applications. Apps can be created using standards based web technologies such as HTML, CSS and JavaScript which can then be deployed on iOS, Android, Blackberry, Windows Phone and other platforms. Adobe Cordova can speed up development and allow you to deploy your app more quickly. NOTE: This course is only available to students attending our Adelaide campus.",
The Art & Science of Business Analytics,95872,6," Use of analytics is rapidly transforming managerial decision making and firms are starting to leverage analytics in the various functional areas of business to improve data-driven decision making. However, many firms are still unable to use data and analytics as a bridge between strategic themes and operations. While performance management systems are prevalent, their focus is primarily historical and they require the integration of a wide variety of data to track measures that may not be strategically relevant. Moreover, getting organizations to adopt emerging Big Data technologies to generate forward-looking analytics requires new technical and analytic skills that many organizations have not traditionally possessed. The aim of this mini-course is to understand what it takes for companies to successfully leverage data and analytics to become more customer-centric while driving improved business results while also providing opportunities for hands-on learning.",Learning Outcomes: • Introduce a framework for understanding what it takes for companies to successfully leverage data and analytics for competitive advantage • Understand how to develop strategies for building out strategic data and analytics capabilities • Provide an overview of the key analytics techniques – from both a mathematical and data/technology perspective • Explore various analytic techniques and how they can be applied across the value chain of a company’s business operations • Introduce Big Data concepts and outline how Big Data is transforming how companies are approaching analytics • Outline a reference architecture for enterprise data management that spans both traditional data warehousing and Big Data techniques Case studies will supplement the discussion of these topics.
Agile Methods,95874,6," Businesses must compete in new ways for growth and relevancy, driven by rapidly expanding digital innovation and complexity. As a result, organizations have become reliant upon an ability of their people and leaders to embrace continuous change for strategic gain while delivering continuous, incremental value. This explains the shift industry is making to Agile Methods; replacing outdated ways of organizing and managing software development and delivery. In this course we learn the history of agile methods, we explore Kanban, DevOps and, more deeply, the Scrum Framework, as it is the most popular and sits at the root of most every enterprise framework used to “scale agility” throughout large organizations. Who this course benefits: Agile Methods is the perfect course for entrepreneurially-minded professionals having career aspirations within any departmental functions (such as Product Management, Product Development, Human Resources, Sales & Marketing, Finance, Supply Chain, etc.) and wanting to learn through practical application how organizations deliver continuous value and embrace continuous change. Required $50 Courseware Purchase: Following the add/drop deadline (after the first week of class), all students enrolled in this class will have a “Heinz Business Case Fee” of $50 charged to their CMU student account. This $50 charge is the student discounted rate charged by Scrum.org required to access the Professional Scrum Master courseware, to be taught by a licensed trainer, using courseware created by Ken Schwaber at Scrum.org. This entitles the student a free attempt at passing the rigorous assessment to earn the Professional Scrum Master I (PSMI) certification.","Learning Outcomes: 1. Students will gain hands-on skills and experience applying Agile Values and Principles, Agile Frameworks as they engage in using Scrum and Kanban during this course - both are popular agile methodologies in high demand with today's employers! Students will have one free attempt at earning the Professional Scrum Master I (PSMI) certification through Scrum.org. 2. Students will be able to demonstrate critical thinking and applied problem solving against a complex holistic system of agile values, principles and practices, and challenges of scaling to the enterprise. 3. Students will learn the strategic business drivers and benefits of agile methods, and the inherent complexities companies experience while adopting and scaling agile to the enterprise."
Engineering Privacy in Software,95878,12," Privacy harms that involve personal data can often be traced back to software design failures, which can be prevented through sound engineering practices. In this course, students will learn how to identify privacy threats due to surveillance activities that enhance modern information systems, including location tracking, behavioral profiling, recommender systems, and social networking. Students will learn to analyze systems to identify the core operating principles and technical means that introduce privacy threats, and they will learn to evaluate and mitigate privacy risks to individuals by investigating system design alternatives. Strategies to mitigating privacy risk will be based on emerging standards and reliable privacy preference data. Students will have the opportunity to study web-, mobile- and cyber-physical systems across a range of domains, including advertising, healthcare, law enforcement and social networking. In addition, students will know how, and when, to interface with relevant stakeholders, including legal, marketing and other developers in order to align software design with privacy policy and law.",
Python for Developers,95880,6," **If you have taken Introduction to Python or Data Focused Python, do not enroll in this course.** This mini-length course focuses on learning internal software development by utilizing the Python computer programming language. Students will work through the SDLC (software development lifecycle) used in many corporate IT departments to learn how to author professional software -- internal corporate applications using Python. This course distinguishes itself in that students explore using Python to build internal company Python programs by completing a mini-long team project within a RAD SDLC environment (producing modules and prototypes). Assignments will include hands-on lab practice coding, weekly fundamental checkpoint quizzes, and the mini-long core programming project. Learners will study how to build professional, user-friendly Python programs to solve internal company problems. External, advanced libraries will be introduced in this class, which may include such libraries as NLTK and PANDAS. This course is designed for people with basic programming knowledge who want to learn Python for real-world based implementation (such as knowing basic programming theory (variables, Boolean expressions), decision logic [if-else], repetition structures [for loops], and functions. This course is a good selection for a student wishing to build a career as a programmer, software engineer, project manager, or program manager.","Learning Outcomes: 1. Use divide-and-conquer problem solving techniques to use the Python IDLE integrated development environment in interactive and script mode to both test code snippets and author professional object-oriented programs. 2. Learn Windows text command line and Macintosh terminal usage for writing and executing Python source code. 3. Form and manipulate sequences of data (such as lists, dictionaries, tuples). 4. Produce modules of functions and class definitions (OOP) for code reuse. 5. Progress through the SDLC (software development lifecycle) to understand how software applications are authored in industry for internal company problem solutions. Software engineering principles used may include such tools as RAD and Storyboarding. 6. External Python libraries workshops will be held toward the end of the mini."
Web Application Development,95881,6," Please note that all students will be initially added to the wait list. Students are moved from wait list to the course based on various factors. With to the ability to capture everything the users do, web applications are at the front lines of data analytics. Web applications should leverage analytics-based insights to adapt to their users. As such, this course is not simply an introduction to HTML/JavaScript programming. Approaches that we will cover includes the instrumentation of a web page to capture user behavior. We will analyze data indicators as an approach to characterize users. This will allow our development to be driven by the ability to personalize the web application experience. At the same time, the course will detail how the web application is used as input to search and advertising engines which use analytics to drive users, and what to do to optimize results. This course assumes no significant programming exposure, and is more highly structured to support the students that may or may not have a significant programming background. Note that all students will be initially added to the wait list, so you should come to the first class even if you are on the waiting list.",Learning Outcomes: 1. Understand the development of a client-side browser based web application including its capabilities and limitations. 2. Develop skills in client-side web application development technologies. 3. Design a web application using web programming analytics.
Enterprise Web Development,95882,6," Please note that all students will be initially added to the wait list. Students are moved from wait list to the course based on various factors. Please come to the first class even if you are on the waiting list. This course assumes some previous programming exposure (variables, arrays, loops, and decision structure). Students without much programming experience should take 95-881, Web Application Development, which does not assume as much programming experience, and is much more structured to support students with less programming exposure. The course content will be different, meaning that 95-881 is not a subset of 95-882.?? Enterprise web applications are a complex relationship between the client, server, and any additional back-end services. Web systems are becoming more supportive of users such that the system must adapt based on the needs and behaviors of the users. This course will support the understanding of the data that drives the enterprise web development, which includes the analysis of web traffic and usage, ads, and the personalization of the web experience. This course focuses on the development of an enterprise web application with specific emphasis on the server-side enterprise web application programming and an n-tier system approach. The students in teams will design and develop a full enterprise web application including an n-tier implementation over the lifetime of the course. The development aspect will include server programming languages and systems (such as PHP, Django, Node) and database support (such as mySQL) as well as appropriate front-end development. Course evaluation will include weekly quizzes based on assigned readings, a cumulative final exam and a course project which is the enterprise web application that the students will build.",Learning Outcomes: 1. Understand the development of a server-side n-tier enterprise web system including its capabilities and limitations. ? 2. Develop skills in server-side web application development technologies. ? 3. Analyze web traffic and usage patterns for optimization of the system.? 4. Create a functioning n-tier enterprise web application suitable for portfolio presentation.
